Member_number,Date,itemDescription,Price
4759,20-02-2015,artif. sweetener,3.80
3543,11-10-2015,frozen meals,2.18
2792,29-07-2015,rolls/buns,1.00
1929,10-07-2015,rolls/buns,1.00
2433,23-08-2015,vinegar,3.61
4941,15-01-2015,domestic eggs,1.40
3547,07-10-2015,hard cheese,3.71
1290,24-04-2015,frozen meals,2.18
4207,28-08-2015,white bread,1.90
2107,01-03-2015,brown bread,2.45
3050,11-03-2015,yogurt,1.80
3814,21-07-2015,UHT-milk,2.50
4875,13-09-2015,cat food,3.99
3691,08-08-2015,liquor (appetizer),4.54
2433,14-03-2015,brown bread,2.45
4757,09-01-2015,mayonnaise,2.64
1407,29-04-2015,bottled beer,3.07
4718,12-06-2015,curd,1.24
1240,14-04-2015,frozen fish,4.20
1792,15-08-2015,grapes,4.50
4486,09-11-2015,whole milk,1.20
1757,15-06-2015,sweet spreads,1.18
2186,01-07-2015,brown bread,2.45
3752,15-04-2015,specialty chocolate,4.80
3051,29-11-2015,fruit/vegetable juice,2.00
3688,23-10-2015,frozen dessert,2.61
4676,15-01-2015,shopping bags,0.50
2142,25-06-2015,hard cheese,3.71
4939,29-06-2015,curd,1.24
1806,06-07-2015,cream cheese,1.70 
1595,05-10-2015,whole milk,1.20
2086,09-03-2015,root vegetables,2.20
4251,03-10-2015,sweet spreads,1.18
2689,30-04-2015,bottled water,3.73
2560,26-11-2015,berries,2.94
2393,17-04-2015,frozen dessert,2.61
1669,19-08-2015,domestic eggs,1.40
3500,21-04-2015,specialty bar,3.47
1213,03-03-2015,brown bread,2.45
4598,18-11-2015,mustard,4.36
1404,03-05-2015,tropical fruit,1.50
1758,26-02-2015,shopping bags,0.50
1265,07-03-2015,pastry,4.81
1006,14-06-2015,rolls/buns,1.00
2779,17-10-2015,other vegetables,2.50
4457,03-09-2015,pip fruit,1.80
2532,06-07-2015,flour,2.91
2811,23-02-2015,jam,2.79
4004,10-05-2015,soda,1.99
1737,09-05-2015,domestic eggs,1.40
3266,25-10-2015,pastry,4.81
4981,10-01-2015,frozen vegetables,3.90
1934,06-08-2015,whipped/sour cream,1.49
2512,19-01-2015,canned fish,2.50
3400,04-03-2015,soda,1.99
4301,01-05-2015,yogurt,1.80
2997,30-12-2015,whole milk,1.20
1098,05-08-2015,canned beer,2.50
2208,30-07-2015,soda,1.99
3672,28-05-2015,beverages,3.40
3651,24-01-2015,oil,3.38
3957,15-05-2015,shopping bags,0.50
2986,11-01-2015,whipped/sour cream,1.49
4433,25-05-2015,fruit/vegetable juice,2.00
3822,27-05-2015,candy,1.94
4588,30-04-2015,white wine,3.33
2622,17-07-2015,other vegetables,2.50
2117,02-05-2015,frozen vegetables,3.90
1780,12-07-2015,curd,1.24
3819,12-04-2015,beverages,3.40
1884,11-12-2015,domestic eggs,1.40
2595,23-01-2015,yogurt,1.80
3046,31-03-2015,yogurt,1.80
3228,26-01-2015,butter milk,2.66
2251,23-06-2015,specialty chocolate,4.80
2368,11-11-2015,sugar,1.95
2573,03-01-2015,candy,1.94
4701,30-04-2015,dental care,3.75
4384,25-05-2015,oil,3.38
1998,18-05-2015,canned vegetables,3.63
4583,23-02-2015,bottled water,3.73
2043,21-04-2015,fruit/vegetable juice,2.00
2201,22-05-2015,rolls/buns,1.00
3522,23-09-2015,whole milk,1.20
3922,28-08-2015,cream cheese,1.70 
2636,11-09-2015,chewing gum,0.74
1092,27-07-2015,bottled water,3.73
2711,13-09-2015,rolls/buns,1.00
3899,22-04-2015,yogurt,1.80
4372,30-07-2015,margarine,1.30
4576,05-08-2015,canned fish,2.50
4953,10-10-2015,newspapers,4.71
4692,27-10-2015,sweet spreads,1.18
1170,12-11-2015,bottled water,3.73
2625,08-04-2015,other vegetables,2.50
2394,30-08-2015,soda,1.99
4277,18-02-2015,newspapers,4.71
3170,17-01-2015,brown bread,2.45
2229,25-10-2015,processed cheese,1.71
2944,01-02-2015,processed cheese,1.71
2582,06-03-2015,soda,1.99
1373,10-05-2015,cake bar,2.02
1366,25-10-2015,whole milk,1.20
3469,10-05-2015,butter,1.88
4012,16-05-2015,rolls/buns,1.00
2031,26-02-2015,artif. sweetener,3.80
2459,16-09-2015,margarine,1.30
4377,23-02-2015,whole milk,1.20
1534,13-08-2015,napkins,1.50
2051,23-07-2015,root vegetables,2.20
3430,26-01-2015,sauces,1.43
1567,13-03-2015,whole milk,1.20
2972,21-05-2015,pip fruit,1.80
1287,28-08-2015,whipped/sour cream,1.49
4776,08-08-2015,red/blush wine,8.00
2271,04-08-2015,other vegetables,2.50
4657,15-08-2015,frozen vegetables,3.90
2344,14-04-2015,whipped/sour cream,1.49
1482,06-07-2015,sugar,1.95
1278,09-12-2015,bottled water,3.73
4831,13-11-2015,other vegetables,2.50
1819,11-11-2015,sugar,1.95
2687,31-07-2015,shopping bags,0.50
4468,24-03-2015,canned beer,2.50
4760,02-04-2015,semi-finished bread,1.12
2310,24-03-2015,soda,1.99
3924,07-02-2015,whole milk,1.20
3517,11-12-2015,curd,1.24
3164,30-09-2015,whole milk,1.20
3245,17-05-2015,newspapers,4.71
2629,06-12-2015,condensed milk,3.61
1347,15-09-2015,pastry,4.81
1216,25-08-2015,tropical fruit,1.50
4636,10-04-2015,frozen fish,4.20
1197,22-11-2015,whipped/sour cream,1.49
4102,23-09-2015,cream cheese,1.70 
1013,02-10-2015,roll products ,4.42
1928,15-08-2015,pastry,4.81
2064,21-08-2015,brown bread,2.45
3416,15-11-2015,turkey,3.42
1536,05-01-2015,yogurt,1.80
1953,09-03-2015,citrus fruit,1.70
1327,04-07-2015,whole milk,1.20
3415,27-05-2015,frozen vegetables,3.90
2517,22-03-2015,sugar,1.95
4334,12-10-2015,condensed milk,3.61
4515,15-06-2015,whole milk,1.20
1527,20-04-2015,soda,1.99
1726,02-11-2015,red/blush wine,8.00
4734,10-02-2015,napkins,1.50
2356,15-06-2015,whole milk,1.20
2244,29-03-2015,softener,2.98
4281,03-04-2015,liquor (appetizer),4.54
2977,14-04-2015,margarine,1.30
2119,24-09-2015,whipped/sour cream,1.49
3208,24-06-2015,pastry,4.81
2663,18-05-2015,canned beer,2.50
3344,01-04-2015,rolls/buns,1.00
3592,14-12-2015,whole milk,1.20
2106,24-11-2015,baking powder,3.32
3356,23-05-2015,root vegetables,2.20
3227,30-11-2015,jam,2.79
1505,27-07-2015,cat food,3.99
1035,24-04-2015,rolls/buns,1.00
4312,14-12-2015,house keeping products,2.32
1253,20-06-2015,specialty cheese,1.44
2260,30-10-2015,soda,1.99
3710,22-08-2015,hygiene articles,1.15
1846,29-11-2015,bottled beer,3.07
3520,09-11-2015,ketchup,1.43
2816,19-06-2015,yogurt,1.80
1051,10-11-2015,cream cheese,1.70 
1754,08-07-2015,flour,2.91
3593,31-08-2015,yogurt,1.80
1421,07-08-2015,fruit/vegetable juice,2.00
3104,04-06-2015,spread cheese,4.41
1283,30-05-2015,bottled water,3.73
1130,18-09-2015,root vegetables,2.20
2816,01-10-2015,fruit/vegetable juice,2.00
4594,23-06-2015,cat food,3.99
4192,16-12-2015,bottled water,3.73
3208,20-11-2015,dishes,6.99
1949,11-04-2015,salt,2.98
4268,25-04-2015,yogurt,1.80
2672,17-01-2015,yogurt,1.80
2372,03-09-2015,soda,1.99
4482,07-08-2015,other vegetables,2.50
1048,06-10-2015,soda,1.99
4831,19-02-2015,white wine,3.33
3441,12-04-2015,newspapers,4.71
3380,11-11-2015,hard cheese,3.71
1654,09-11-2015,root vegetables,2.20
2408,21-06-2015,rolls/buns,1.00
4699,01-08-2015,rolls/buns,1.00
2670,29-04-2015,pip fruit,1.80
4292,18-08-2015,cream cheese,1.70 
4303,22-02-2015,butter,1.88
2011,22-03-2015,onions,1.84
3657,29-09-2015,photo/film,4.32
1435,14-01-2015,fruit/vegetable juice,2.00
4445,20-05-2015,rolls/buns,1.00
4030,15-08-2015,yogurt,1.80
1204,11-04-2015,root vegetables,2.20
1235,01-01-2015,spread cheese,4.41
3984,03-02-2015,condensed milk,3.61
3637,25-11-2015,whole milk,1.20
1931,02-07-2015,oil,3.38
4486,23-10-2015,grapes,4.50
4529,03-01-2015,newspapers,4.71
1827,07-05-2015,soda,1.99
3054,27-05-2015,mayonnaise,2.64
2524,21-10-2015,whole milk,1.20
1855,09-11-2015,margarine,1.30
3242,23-02-2015,yogurt,1.80
4431,21-08-2015,soda,1.99
4555,23-07-2015,other vegetables,2.50
4299,08-02-2015,shopping bags,0.50
2905,22-10-2015,frozen vegetables,3.90
3323,09-12-2015,candles,3.52
2796,17-10-2015,rolls/buns,1.00
2129,04-03-2015,yogurt,1.80
1501,17-08-2015,hard cheese,3.71
2814,17-07-2015,specialty cheese,1.44
1105,22-05-2015,whole milk,1.20
3798,04-09-2015,whipped/sour cream,1.49
3025,21-04-2015,herbs,1.29
4592,13-07-2015,chewing gum,0.74
4463,03-11-2015,whole milk,1.20
2916,13-06-2015,whole milk,1.20
1838,25-03-2015,hard cheese,3.71
1126,17-05-2015,napkins,1.50
2800,02-10-2015,soda,1.99
4485,25-07-2015,curd,1.24
3262,08-07-2015,soda,1.99
4030,22-12-2015,bottled water,3.73
3370,03-02-2015,specialty chocolate,4.80
3489,01-09-2015,specialty chocolate,4.80
2386,03-01-2015,pastry,4.81
3774,16-02-2015,whole milk,1.20
3818,13-05-2015,yogurt,1.80
3434,10-06-2015,shopping bags,0.50
3438,27-12-2015,root vegetables,2.20
1140,01-05-2015,curd,1.24
1051,12-10-2015,popcorn,4.28
3071,26-03-2015,brown bread,2.45
3872,28-03-2015,soda,1.99
4215,30-06-2015,whole milk,1.20
3806,15-03-2015,curd,1.24
1869,16-05-2015,chewing gum,0.74
1668,05-05-2015,pastry,4.81
1163,14-12-2015,newspapers,4.71
1664,01-10-2014,misc. beverages,3.47
3942,16-12-2014,flour,2.91
2638,10-10-2014,photo/film,4.32
4735,10-10-2014,hamburger meat,2.11
3745,09-12-2014,pickled vegetables,1.99
1817,15-11-2014,whole milk,1.20
2864,16-10-2014,other vegetables,2.50
1748,14-08-2014,bottled water,3.73
3360,30-08-2014,butter milk,2.66
1849,06-10-2014,butter,1.88
3438,11-06-2014,white wine,3.33
4594,28-05-2014,soda,1.99
1632,16-02-2014,shopping bags,0.50
4297,29-08-2014,whole milk,1.20
4539,14-04-2014,other vegetables,2.50
4762,25-06-2014,onions,1.84
4153,14-02-2014,long life bakery product,1.50
1500,20-06-2014,chocolate,1.80
1895,22-07-2014,bottled water,3.73
1466,03-02-2014,chewing gum,0.74
2233,24-04-2014,other vegetables,2.50
3057,28-01-2014,pastry,4.81
3308,21-08-2014,shopping bags,0.50
3241,08-01-2014,whole milk,1.20
1947,27-02-2014,other vegetables,2.50
2589,04-10-2014,shopping bags,0.50
3127,25-02-2014,root vegetables,2.20
2138,13-05-2014,whole milk,1.20
2495,31-01-2014,citrus fruit,1.70
3590,29-03-2014,whole milk,1.20
4037,05-05-2014,tea,4.17
4968,04-03-2014,beef,4.50
1612,08-10-2014,soda,1.99
4741,10-12-2014,fruit/vegetable juice,2.00
2899,08-01-2014,canned beer,2.50
4206,18-09-2014,mustard,4.36
3705,17-08-2014,coffee,1.62
2832,29-07-2014,meat spreads,3.85
4054,05-10-2014,whipped/sour cream,1.49
1595,17-07-2014,rolls/buns,1.00
4821,02-09-2014,grapes,4.50
1336,23-01-2014,domestic eggs,1.40
2446,19-01-2014,margarine,1.30
1033,21-04-2014,snack products,4.61
1447,05-06-2014,other vegetables,2.50
1185,14-08-2014,whole milk,1.20
1410,06-01-2014,dishes,6.99
4588,28-07-2014,flour,2.91
2732,31-01-2014,berries,2.94
1473,10-10-2014,whipped/sour cream,1.49
2029,21-10-2014,ice cream,4.55
2799,31-07-2014,butter,1.88
4579,19-01-2014,candles,3.52
1041,13-06-2014,frozen vegetables,3.90
1877,30-09-2014,shopping bags,0.50
4191,14-03-2014,margarine,1.30
3649,07-11-2014,soda,1.99
2706,24-02-2014,whipped/sour cream,1.49
3821,26-02-2014,condensed milk,3.61
3917,14-02-2014,whipped/sour cream,1.49
4464,27-07-2014,chewing gum,0.74
1935,30-06-2014,frozen vegetables,3.90
1783,22-07-2014,candy,1.94
3817,23-08-2014,sugar,1.95
4162,15-04-2014,brown bread,2.45
1653,18-07-2014,herbs,1.29
1686,12-04-2014,whole milk,1.20
2549,05-09-2014,tropical fruit,1.50
1380,22-04-2014,canned vegetables,3.63
3315,27-12-2014,chewing gum,0.74
4931,23-02-2014,coffee,1.62
4849,14-04-2014,root vegetables,2.20
2984,07-07-2014,pickled vegetables,1.99
1262,12-07-2014,frozen meals,2.18
2561,27-11-2014,domestic eggs,1.40
2755,02-01-2014,fruit/vegetable juice,2.00
1747,07-01-2014,margarine,1.30
1913,31-08-2014,chocolate,1.80
3090,03-10-2014,domestic eggs,1.40
4369,27-10-2014,frozen dessert,2.61
4872,20-10-2014,red/blush wine,8.00
3918,04-05-2014,waffles,2.24
1758,21-09-2014,margarine,1.30
2328,22-01-2014,grapes,4.50
3570,05-06-2014,cake bar,2.02
4753,11-10-2014,rolls/buns,1.00
1815,04-12-2014,liquor,1.80
4372,11-09-2014,waffles,2.24
1287,08-07-2014,other vegetables,2.50
4938,05-01-2014,shopping bags,0.50
4164,08-09-2014,whole milk,1.20
4410,24-05-2014,candy,1.94
2609,04-06-2014,sliced cheese,3.69
2293,31-03-2014,candy,1.94
4049,06-07-2014,canned fish,2.50
2240,02-10-2014,shopping bags,0.50
3197,01-03-2014,margarine,1.30
1223,05-09-2014,butter,1.88
2186,12-04-2014,soda,1.99
4137,15-12-2014,soda,1.99
3284,25-03-2014,misc. beverages,3.47
3190,13-04-2014,curd,1.24
3059,15-06-2014,cat food,3.99
2441,28-08-2014,shopping bags,0.50
3645,22-08-2014,candy,1.94
2246,21-01-2014,soda,1.99
4431,12-06-2014,soda,1.99
3047,16-08-2014,soda,1.99
1866,29-08-2014,whole milk,1.20
3138,13-10-2014,curd,1.24
2078,14-05-2014,shopping bags,0.50
3142,06-05-2014,other vegetables,2.50
4262,03-06-2014,red/blush wine,8.00
4872,13-02-2014,bottled beer,3.07
1985,18-05-2014,whole milk,1.20
2458,20-11-2014,root vegetables,2.20
2540,29-01-2014,bottled water,3.73
3194,26-07-2014,canned beer,2.50
3071,18-04-2014,pastry,4.81
4181,07-09-2014,detergent,4.13
2033,29-11-2014,hamburger meat,2.11
3306,11-12-2014,soda,1.99
1658,09-08-2014,soda,1.99
3884,12-10-2014,rolls/buns,1.00
1215,30-07-2014,root vegetables,2.20
2477,30-09-2014,whole milk,1.20
3971,04-02-2014,whole milk,1.20
3644,20-02-2014,white wine,3.33
1550,05-05-2014,cereals,2.69
1625,02-09-2014,butter milk,2.66
2472,01-02-2014,white bread,1.90
2337,03-04-2014,whole milk,1.20
4690,02-03-2014,butter,1.88
1748,26-08-2014,butter,1.88
4296,15-12-2014,chocolate,1.80
3529,26-08-2014,root vegetables,2.20
3804,28-04-2014,rolls/buns,1.00
4107,05-10-2014,pastry,4.81
3727,28-07-2014,soda,1.99
1492,20-12-2014,yogurt,1.80
4952,04-09-2014,yogurt,1.80
4641,11-05-2014,whole milk,1.20
4716,18-05-2014,napkins,1.50
3857,07-11-2014,other vegetables,2.50
4599,21-03-2014,other vegetables,2.50
2906,25-06-2014,cream cheese,1.70 
3552,27-01-2014,frozen meals,2.18
4572,30-10-2014,rolls/buns,1.00
4345,19-03-2014,roll products ,4.42
1908,20-09-2014,bottled water,3.73
4744,31-01-2014,other vegetables,2.50
2064,18-03-2014,oil,3.38
1726,05-04-2014,whole milk,1.20
2383,25-05-2014,condensed milk,3.61
4245,15-07-2014,whole milk,1.20
1013,20-02-2014,candy,1.94
2676,10-01-2014,candy,1.94
4155,03-09-2014,curd,1.24
1365,23-08-2014,frozen fruits,3.94
4917,30-05-2014,rolls/buns,1.00
4686,27-06-2014,rolls/buns,1.00
4842,23-05-2014,frozen vegetables,3.90
3673,11-08-2014,cream cheese,1.70 
4214,03-10-2014,cake bar,2.02
3952,27-07-2014,abrasive cleaner,1.76
3972,03-04-2014,UHT-milk,2.50
3790,31-07-2014,whole milk,1.20
3042,04-04-2014,other vegetables,2.50
2567,22-07-2014,bottled beer,3.07
3830,28-07-2014,yogurt,1.80
2515,27-01-2014,tropical fruit,1.50
2545,14-01-2014,onions,1.84
1006,09-04-2014,rice,1.66
2590,03-09-2014,soda,1.99
1757,30-03-2014,whole milk,1.20
2352,27-03-2014,misc. beverages,3.47
1136,28-09-2014,other vegetables,2.50
3123,08-07-2014,soda,1.99
3224,06-08-2014,cream cheese,1.70 
4642,17-12-2014,domestic eggs,1.40
2380,05-04-2014,pastry,4.81
4029,27-10-2014,soda,1.99
1103,12-07-2014,herbs,1.29
4655,14-11-2014,oil,3.38
1773,28-10-2014,whipped/sour cream,1.49
4645,10-11-2014,baking powder,3.32
1468,02-10-2014,frozen dessert,2.61
4383,02-12-2014,whole milk,1.20
3279,07-03-2014,packaged fruit/vegetables,4.24
3025,19-01-2014,cat food,3.99
2969,13-04-2014,processed cheese,1.71
1767,02-06-2014,UHT-milk,2.50
2830,21-09-2014,bottled beer,3.07
3556,02-04-2014,margarine,1.30
1104,09-05-2014,root vegetables,2.20
1740,21-11-2014,curd cheese,3.55
1844,18-09-2014,pastry,4.81
2544,09-06-2014,soda,1.99
3655,10-05-2014,butter milk,2.66
4947,28-01-2014,dessert,3.96
4002,24-08-2014,butter milk,2.66
4951,15-08-2014,pastry,4.81
3309,06-06-2014,domestic eggs,1.40
2289,03-07-2014,rolls/buns,1.00
2120,06-07-2014,yogurt,1.80
4679,13-06-2014,white wine,3.33
3220,15-03-2014,other vegetables,2.50
2146,30-05-2014,bottled water,3.73
1851,12-02-2014,root vegetables,2.20
1889,03-08-2014,sweet spreads,1.18
2789,02-11-2014,curd,1.24
2611,29-12-2014,bottled water,3.73
1309,23-12-2014,butter,1.88
2259,16-06-2014,domestic eggs,1.40
2540,16-12-2014,canned beer,2.50
3539,13-01-2014,bottled beer,3.07
4149,12-05-2014,dessert,3.96
3847,08-06-2014,UHT-milk,2.50
4285,13-04-2014,domestic eggs,1.40
1445,13-04-2014,bottled water,3.73
2701,03-05-2014,spread cheese,4.41
1602,29-05-2014,fruit/vegetable juice,2.00
1590,01-06-2014,newspapers,4.71
3704,02-08-2014,candy,1.94
4035,14-07-2014,butter,1.88
4861,23-03-2014,other vegetables,2.50
3757,08-07-2014,frozen vegetables,3.90
4743,07-07-2014,coffee,1.62
4527,16-03-2014,domestic eggs,1.40
2756,14-05-2014,canned fish,2.50
1432,18-02-2014,pip fruit,1.80
3089,20-08-2014,house keeping products,2.32
4614,25-12-2014,sugar,1.95
4255,02-01-2014,margarine,1.30
3426,02-05-2014,pip fruit,1.80
3343,03-08-2014,salty snack,1.80
3550,18-12-2014,waffles,2.24
4785,14-08-2014,hard cheese,3.71
3137,11-09-2014,newspapers,4.71
4645,13-12-2014,brown bread,2.45
1369,05-05-2014,whole milk,1.20
3684,06-02-2014,other vegetables,2.50
4423,25-02-2014,brown bread,2.45
3561,26-05-2014,brown bread,2.45
2625,14-12-2014,specialty chocolate,4.80
1218,08-05-2014,citrus fruit,1.70
2120,07-07-2014,whole milk,1.20
2332,14-05-2014,other vegetables,2.50
2269,05-01-2014,sliced cheese,3.69
2607,20-11-2014,ice cream,4.55
4866,16-09-2014,other vegetables,2.50
2723,27-10-2014,rolls/buns,1.00
3660,19-05-2014,pip fruit,1.80
2407,08-01-2014,root vegetables,2.20
3670,04-08-2014,rolls/buns,1.00
3743,03-07-2014,butter,1.88
3598,13-03-2014,whipped/sour cream,1.49
3882,18-07-2014,pastry,4.81
1175,02-01-2014,other vegetables,2.50
2913,14-12-2014,house keeping products,2.32
1087,26-02-2014,beverages,3.40
2075,06-05-2014,soda,1.99
3034,26-12-2014,pastry,4.81
4820,28-10-2014,baking powder,3.32
1651,20-08-2014,canned vegetables,3.63
3625,17-10-2014,whole milk,1.20
3487,25-03-2014,onions,1.84
1729,20-03-2014,whipped/sour cream,1.49
2803,03-07-2014,canned beer,2.50
3692,19-10-2014,bottled beer,3.07
1649,29-07-2014,condensed milk,3.61
4015,17-02-2014,bottled beer,3.07
4427,12-03-2014,pet care,4.03
4021,31-10-2014,other vegetables,2.50
1737,28-08-2014,detergent,4.13
2320,05-02-2014,whole milk,1.20
4725,31-08-2014,soft cheese,2.00
1697,22-01-2014,butter,1.88
2341,17-04-2014,UHT-milk,2.50
1180,24-08-2014,white bread,1.90
3226,26-02-2014,yogurt,1.80
4288,24-09-2014,canned beer,2.50
2181,29-04-2014,UHT-milk,2.50
2517,12-05-2014,spread cheese,4.41
2909,18-01-2014,whole milk,1.20
4312,02-04-2014,cocoa drinks,1.32
4965,23-12-2014,whole milk,1.20
1224,20-09-2014,specialty chocolate,4.80
3135,21-06-2014,rice,1.66
1914,28-11-2014,dessert,3.96
3589,07-09-2014,pastry,4.81
4274,31-03-2014,pip fruit,1.80
3395,17-03-2014,rolls/buns,1.00
4086,15-11-2014,salty snack,1.80
1033,02-03-2014,pastry,4.81
2398,23-07-2014,coffee,1.62
3782,16-09-2014,newspapers,4.71
3109,11-09-2014,specialty bar,3.47
2028,22-08-2014,salt,2.98
4963,03-03-2014,tropical fruit,1.50
1043,14-03-2014,sliced cheese,3.69
4303,24-10-2014,butter,1.88
3282,28-08-2014,margarine,1.30
3220,13-12-2014,other vegetables,2.50
3297,30-03-2014,yogurt,1.80
2153,14-12-2014,chewing gum,0.74
1065,25-12-2014,frozen fish,4.20
1126,02-11-2014,whipped/sour cream,1.49
1399,06-02-2014,other vegetables,2.50
2602,03-01-2014,whole milk,1.20
2478,02-09-2014,soda,1.99
2645,07-08-2014,yogurt,1.80
3109,14-10-2014,canned beer,2.50
3268,31-01-2014,dish cleaner,1.54
2556,06-03-2014,other vegetables,2.50
3139,06-11-2014,white bread,1.90
2971,12-07-2014,fruit/vegetable juice,2.00
4391,04-06-2014,citrus fruit,1.70
3322,01-08-2014,soda,1.99
1740,08-07-2014,soda,1.99
3367,27-02-2014,long life bakery product,1.50
3616,11-06-2014,rolls/buns,1.00
3736,16-02-2014,liquor (appetizer),4.54
1795,20-05-2014,dessert,3.96
2702,08-09-2014,other vegetables,2.50
4397,28-08-2014,shopping bags,0.50
2649,18-02-2014,hard cheese,3.71
4752,04-03-2014,whipped/sour cream,1.49
2028,26-10-2014,specialty bar,3.47
1128,10-05-2014,white bread,1.90
1199,23-03-2014,rolls/buns,1.00
4986,08-02-2014,chewing gum,0.74
3102,09-05-2014,white bread,1.90
2079,04-11-2014,soda,1.99
1931,13-03-2014,chocolate,1.80
1176,04-09-2014,whole milk,1.20
3562,11-09-2014,white wine,3.33
1962,14-06-2014,soda,1.99
1782,10-04-2014,onions,1.84
3493,01-12-2014,candy,1.94
4268,14-10-2014,yogurt,1.80
3730,17-04-2014,sliced cheese,3.69
1144,07-11-2014,domestic eggs,1.40
4637,06-12-2014,butter milk,2.66
1855,26-09-2014,salty snack,1.80
3022,16-02-2014,rolls/buns,1.00
3960,23-01-2014,frozen potato products,3.36
2786,30-08-2014,specialty chocolate,4.80
2550,11-06-2014,pip fruit,1.80
1141,08-04-2014,yogurt,1.80
3226,25-10-2014,long life bakery product,1.50
3846,25-08-2014,dessert,3.96
1282,06-06-2014,bottled water,3.73
3213,19-12-2014,rolls/buns,1.00
3910,17-02-2014,soda,1.99
2533,21-09-2014,frozen vegetables,3.90
3713,17-12-2014,whole milk,1.20
2131,18-02-2014,soda,1.99
2878,13-06-2014,bottled water,3.73
2355,26-01-2014,whipped/sour cream,1.49
3847,31-07-2014,rolls/buns,1.00
3619,16-12-2014,napkins,1.50
4980,25-08-2014,domestic eggs,1.40
1185,27-09-2014,canned beer,2.50
4049,23-12-2014,frozen fish,4.20
2681,04-09-2014,cream cheese,1.70 
1742,20-10-2014,mustard,4.36
4594,01-07-2014,tropical fruit,1.50
3869,24-05-2014,detergent,4.13
1191,10-03-2014,white bread,1.90
2466,28-01-2014,frozen meals,2.18
4857,03-03-2014,misc. beverages,3.47
3087,21-02-2014,yogurt,1.80
4730,26-11-2014,sliced cheese,3.69
2120,27-02-2014,red/blush wine,8.00
2452,18-02-2014,domestic eggs,1.40
3499,04-04-2014,kitchen towels,2.27
1731,28-12-2014,salt,2.98
1751,27-02-2014,newspapers,4.71
1991,14-07-2014,yogurt,1.80
4300,28-01-2014,soft cheese,2.00
2009,03-06-2014,pastry,4.81
1585,17-09-2014,rolls/buns,1.00
1604,03-02-2014,specialty bar,3.47
3804,27-12-2014,other vegetables,2.50
4955,22-03-2014,canned fish,2.50
4826,14-04-2014,bottled water,3.73
2294,04-07-2014,chewing gum,0.74
2857,28-08-2014,coffee,1.62
4911,20-07-2014,domestic eggs,1.40
4924,31-01-2014,salty snack,1.80
1392,12-09-2014,curd,1.24
3917,03-04-2014,other vegetables,2.50
3032,28-12-2014,domestic eggs,1.40
1808,29-11-2014,whole milk,1.20
4082,01-07-2014,yogurt,1.80
1673,08-04-2014,grapes,4.50
3246,21-05-2014,root vegetables,2.20
1415,05-01-2014,fruit/vegetable juice,2.00
2555,27-12-2014,curd,1.24
4426,01-12-2014,pip fruit,1.80
4406,20-01-2014,cream cheese,1.70 
3514,13-12-2014,butter,1.88
4197,29-09-2014,detergent,4.13
3206,24-08-2014,canned vegetables,3.63
3767,30-01-2014,pasta,3.12
3761,01-03-2014,domestic eggs,1.40
3013,07-08-2014,ice cream,4.55
2454,09-11-2014,pastry,4.81
4042,25-01-2014,domestic eggs,1.40
3936,06-08-2014,pickled vegetables,1.99
2943,30-06-2014,pastry,4.81
3163,09-11-2014,salty snack,1.80
1435,07-12-2014,salty snack,1.80
4174,15-07-2014,coffee,1.62
1929,10-11-2014,pastry,4.81
4462,21-09-2014,pickled vegetables,1.99
3840,06-11-2014,jam,2.79
2946,09-01-2014,white wine,3.33
4434,31-08-2014,shopping bags,0.50
2826,04-09-2014,other vegetables,2.50
1376,29-11-2014,chocolate,1.80 marshmallow
1896,25-07-2014,beef,4.50
4952,02-10-2014,whole milk,1.20
4117,24-04-2014,candy,1.94
1385,27-02-2014,herbs,1.29
4448,21-02-2014,fruit/vegetable juice,2.00
4622,12-06-2014,cream cheese,1.70 
4018,27-09-2014,frozen vegetables,3.90
3757,18-12-2014,sugar,1.95
1816,09-01-2014,whole milk,1.20
3189,08-02-2014,root vegetables,2.20
4581,05-08-2014,sliced cheese,3.69
3416,13-07-2014,frozen vegetables,3.90
2910,01-03-2014,processed cheese,1.71
2720,26-06-2014,rolls/buns,1.00
2351,01-01-2014,shopping bags,0.50
3348,18-11-2014,root vegetables,2.20
2703,29-09-2014,specialty fat,4.72
2612,04-06-2014,pastry,4.81
3299,06-09-2014,waffles,2.24
3722,20-02-2014,brown bread,2.45
2289,17-08-2014,whole milk,1.20
4656,05-07-2014,vinegar,3.61
3485,21-05-2014,napkins,1.50
4114,07-08-2014,flour,2.91
1586,02-05-2014,rolls/buns,1.00
2815,30-10-2014,root vegetables,2.20
4239,08-12-2014,napkins,1.50
1494,13-02-2014,rolls/buns,1.00
1747,17-12-2014,red/blush wine,8.00
2218,25-09-2014,soda,1.99
4959,20-10-2014,rolls/buns,1.00
2453,07-05-2014,specialty cheese,1.44
4502,27-07-2014,rolls/buns,1.00
1504,12-01-2014,white wine,3.33
4494,24-04-2014,newspapers,4.71
3610,18-03-2014,yogurt,1.80
3617,16-04-2014,bottled beer,3.07
1279,25-08-2014,soda,1.99
2387,11-03-2014,brown bread,2.45
2912,24-08-2014,candles,3.52
3008,09-07-2014,other vegetables,2.50
2739,11-07-2014,skin care,2.09
2038,28-10-2014,rolls/buns,1.00
3090,22-11-2014,tropical fruit,1.50
3142,05-05-2014,rolls/buns,1.00
2962,07-06-2014,brown bread,2.45
